Age Group,World Average,United States of America,Uganda,USA - Age-standardized rate,Uganda - Age-standardized rate
0-4,8.86,0.04,0.4,0.4,3.5
5-9,8.69,0.02,0.17,0.2,1.5
10-14,8.6,0.02,0.07,0.2,0.6
15-19,8.47,0.02,0.23,0.2,1.9
20-24,8.22,0.06,0.38,0.5,3.1
25-29,7.93,0.11,0.4,0.9,3.2
30-34,7.61,0.29,0.75,2.2,5.7
35-39,7.15,0.56,1.11,4.0,7.9
40-44,6.59,1.42,2.04,9.4,13.4
45-49,6.04,4.0,5.51,24.2,33.3
50-54,5.37,14.13,13.26,75.9,71.2
55-59,4.55,37.22,33.25,169.4,151.3
60-64,3.72,66.48,69.62,247.3,259.0
65-69,2.96,108.66,120.78,321.6,357.5
70-74,2.21,213.1,229.88,471.0,508.0
75-79,1.52,333.06,341.06,506.3,518.4
80-84,0.91,491.1,529.31,446.9,481.7
85+,0.635,894.45,710.4,568.0,451.1
